#Energy	dxy	dyz	dz2	dxz	dx2
-19.39993	0	0	0	0	0
-19.38893	0	0	0	0	0
-19.37793	0	0	0	0	0
-19.36693	0	0	0	0	0
-19.35593	0	0	0	0	0
-19.34593	0	0	0	0	0
-19.33493	0	0	0	0	0
-19.32393	0	0	0	0	0
-19.31293	0	0	0	0	0
-19.30293	0	0	0	0	0
-19.29193	0	0	0	0	0
-19.28093	0	0	0	0	0
-19.26993	0	0	0	0	0
-19.25893	0	0	0	0	0
-19.24893	0	0	0	0	0
-19.23793	0	0	0	0	0
-19.22693	0	0	0	0	0
-19.21593	0	0	0	0	0
-19.20493	0	0	0	0	0
-19.19493	0	0	0	0	0
-19.18393	0	0	0	0	0
-19.17293	0	0	0	0	0
-19.16193	0	0	0	0	0
-19.15093	0	0	0	0	0
-19.14093	0	0	0	0	0
-19.12993	0	-1E-5	0	-1E-5	0
-19.11893	0	-1E-5	0	-1E-5	0
-19.10793	0	-2E-5	0	-2E-5	0
-19.09793	0	-3E-5	0	-3E-5	0
-19.08693	0	-4E-5	0	-4E-5	0
-19.07593	0	-4E-5	0	-5E-5	0
-19.06493	0	-5E-5	0	-5E-5	0
-19.05393	0	-5E-5	0	-6E-5	0
-19.04393	0	-5E-5	0	-6E-5	0
-19.03293	0	-5E-5	0	-5E-5	0
-19.02193	0	-4E-5	0	-4E-5	0
-19.01093	0	-3E-5	0	-3E-5	0
-18.99993	0	-2E-5	0	-2E-5	0
-18.98993	0	-1E-5	0	-1E-5	0
-18.97893	0	-1E-5	0	-1E-5	0
-18.96793	0	0	0	0	0
-18.95693	0	0	0	0	0
-18.94593	0	0	0	0	0
-18.93593	0	0	0	0	0
-18.92493	0	0	0	0	0
-18.91393	0	0	0	0	0
-18.90293	0	0	0	0	0
-18.89293	0	0	-1E-5	0	0
-18.88193	0	0	-1E-5	0	0
-18.87093	0	0	-1E-5	0	0
-18.85993	0	0	-1E-5	0	0
-18.84893	0	0	-1E-5	0	0
-18.83893	0	0	-1E-5	0	0
-18.82793	0	0	-1E-5	0	0
-18.81693	0	0	-1E-5	0	0
-18.80593	0	0	-1E-5	0	0
-18.79493	0	0	-1E-5	0	0
-18.78493	0	0	-2E-5	0	0
-18.77393	0	0	-2E-5	0	0
-18.76293	0	0	-3E-5	0	0
-18.75193	0	0	-3E-5	0	0
-18.74093	0	0	-3E-5	0	0
-18.73093	0	0	-3E-5	0	0
-18.71993	0	0	-3E-5	0	0
-18.70893	0	0	-3E-5	0	0
-18.69793	0	0	-3E-5	0	0
-18.68793	0	0	-2E-5	0	0
-18.67693	0	0	-2E-5	0	0
-18.66593	0	0	-3E-5	0	0
-18.65493	0	0	-3E-5	0	0
-18.64393	0	0	-3E-5	0	0
-18.63393	0	0	-4E-5	0	0
-18.62293	0	0	-3E-5	0	0
-18.61193	0	0	-3E-5	0	0
-18.60093	0	0	-2E-5	0	0
-18.58993	0	0	-2E-5	0	0
-18.57993	0	0	-1E-5	0	0
-18.56893	0	0	-1E-5	0	0
-18.55793	0	0	0	0	0
-18.54693	0	0	0	0	0
-18.53693	0	0	0	0	0
-18.52593	0	0	0	0	0
-18.51493	0	0	0	0	0
-18.50393	0	0	0	0	0
-18.49293	0	0	0	0	0
-18.48293	0	0	0	0	0
-18.47193	0	0	0	0	0
-18.46093	0	0	-1E-5	0	-1E-5
-18.44993	0	0	-1E-5	0	-1E-5
-18.43893	0	0	-1E-5	0	-1E-5
-18.42893	0	0	-1E-5	0	-1E-5
-18.41793	-1E-5	0	-2E-5	0	-1E-5
-18.40693	-1E-5	0	-3E-5	0	-1E-5
-18.39593	-1E-5	0	-5E-5	0	-2E-5
-18.38493	-1E-5	0	-1E-4	0	-2E-5
-18.37493	-1E-5	0	-1.9E-4	0	-2E-5
-18.36393	-1E-5	0	-3.7E-4	0	-2E-5
-18.35293	-1E-5	0	-6.6E-4	0	-3E-5
-18.34193	-1E-5	0	-0.00109	0	-3E-5
-18.33193	-1E-5	0	-0.00166	0	-2E-5
-18.32093	-1E-5	0	-0.00232	0	-2E-5
-18.30993	-1E-5	0	-0.00297	0	-2E-5
-18.29893	-1E-5	0	-0.00347	0	-1E-5
-18.28793	0	0	-0.00371	0	-1E-5
-18.27793	0	0	-0.00361	0	0
-18.26693	0	0	-0.00321	0	0
-18.25593	0	0	-0.0026	0	0
-18.24493	0	0	-0.00192	0	0
-18.23393	0	0	-0.00129	0	0
-18.22393	0	0	-8E-4	0	0
-18.21293	0	0	-4.5E-4	0	0
-18.20193	0	0	-2.3E-4	0	0
-18.19093	0	0	-1.1E-4	0	0
-18.17993	0	0	-5E-5	0	0
-18.16993	0	0	-2E-5	0	0
-18.15893	0	0	-1E-5	0	0
-18.14793	0	0	0	0	0
-18.13693	0	0	0	0	0
-18.12693	0	0	0	0	0
-18.11593	0	0	0	0	0
-18.10493	0	0	-1E-5	0	0
-18.09393	0	0	-2E-5	0	0
-18.08293	0	0	-3E-5	0	0
-18.07293	0	0	-7E-5	0	0
-18.06193	0	0	-1.3E-4	0	-1E-5
-18.05093	-1E-5	0	-2.4E-4	0	-1E-5
-18.03993	-2E-5	0	-4.2E-4	0	-3E-5
-18.02893	-4E-5	0	-6.9E-4	0	-8E-5
-18.01893	-9E-5	0	-0.00109	0	-1.8E-4
-18.00793	-2E-4	-1E-5	-0.00167	-1E-5	-3.8E-4
-17.99693	-4E-4	-1E-5	-0.00249	-1E-5	-7.5E-4
-17.98593	-7.4E-4	-2E-5	-0.00364	-2E-5	-0.00137
-17.97493	-0.00124	-4E-5	-0.00514	-3E-5	-0.00232
-17.96493	-0.00194	-5E-5	-0.00695	-5E-5	-0.00361
-17.95393	-0.00279	-7E-5	-0.00889	-6E-5	-0.00521
-17.94293	-0.00374	-8E-5	-0.01063	-8E-5	-0.00697
-17.93193	-0.00466	-9E-5	-0.01182	-9E-5	-0.00868
-17.92193	-0.0054	-9E-5	-0.01216	-9E-5	-0.01005
-17.91093	-0.00583	-9E-5	-0.0116	-9E-5	-0.01084
-17.89993	-0.00588	-8E-5	-0.01026	-8E-5	-0.01092
-17.88893	-0.00554	-7E-5	-0.00848	-7E-5	-0.01028
-17.87793	-0.00488	-5E-5	-0.00659	-6E-5	-0.00907
-17.86793	-0.00405	-4E-5	-0.00488	-4E-5	-0.00753
-17.85693	-0.00317	-3E-5	-0.00347	-3E-5	-0.0059
-17.84593	-0.00236	-2E-5	-0.00241	-2E-5	-0.00441
-17.83493	-0.00168	-1E-5	-0.00164	-2E-5	-0.00315
-17.82393	-0.00115	-1E-5	-0.00113	-1E-5	-0.00216
