#Energy	pz
-17.58693	-4.8E-4
-17.57593	-5.3E-4
-17.56493	-5.7E-4
-17.55493	-6E-4
-17.54393	-6.1E-4
-17.53293	-5.9E-4
-17.52193	-5.3E-4
-17.51193	-4.5E-4
-17.50093	-3.7E-4
-17.48993	-2.9E-4
-17.47893	-2.3E-4
-17.46793	-1.9E-4
-17.45793	-1.8E-4
-17.44693	-1.8E-4
-17.43593	-1.9E-4
-17.42493	-2E-4
-17.41393	-2.2E-4
-17.40393	-2.3E-4
-17.39293	-2.4E-4
-17.38193	-2.4E-4
-17.37093	-2.3E-4
-17.35993	-2.1E-4
-17.34993	-1.9E-4
-17.33893	-1.6E-4
-17.32793	-1.3E-4
-17.31693	-1.1E-4
-17.30693	-9E-5
-17.29593	-7E-5
-17.28493	-5E-5
-17.27393	-4E-5
-17.26293	-3E-5
-17.25293	-2E-5
-17.24193	-1E-5
-17.23093	-1E-5
-17.21993	0
-17.20893	0
-17.19893	0
-17.18793	0
-17.17693	0
-17.16593	0
-17.15493	0
-17.14493	0
-17.13393	0
-17.12293	0
-17.11193	0
-17.10193	0
-17.09093	0
-17.07993	0
-17.06893	0
-17.05793	0
-17.04793	0
-17.03693	0
-17.02593	0
-17.01493	0
-17.00393	0
-16.99393	0
-16.98293	0
-16.97193	0
-16.96093	0
-16.94993	0
-16.93993	0
-16.92893	0
-16.91793	0
-16.90693	0
-16.89693	0
-16.88593	0
-16.87493	0
-16.86393	0
-16.85293	0
-16.84293	0
-16.83193	0
-16.82093	0
-16.80993	0
-16.79893	0
-16.78893	0
-16.77793	0
-16.76693	0
-16.75593	0
-16.74493	0
-16.73493	0
-16.72393	0
-16.71293	0
-16.70193	0
-16.69193	0
-16.68093	0
-16.66993	0
-16.65893	0
-16.64793	0
-16.63793	0
-16.62693	0
-16.61593	0
-16.60493	0
-16.59393	0
-16.58393	0
-16.57293	0
-16.56193	0
-16.55093	0
-16.53993	0
-16.52993	0
-16.51893	0
-16.50793	0
-16.49693	0
-16.48693	0
-16.47593	0
-16.46493	0
-16.45393	0
-16.44293	0
-16.43293	0
-16.42193	0
-16.41093	0
-16.39993	0
-16.38893	0
-16.37893	0
-16.36793	0
-16.35693	0
-16.34593	0
-16.33493	0
-16.32493	0
-16.31393	0
-16.30293	0
-16.29193	0
-16.28193	0
-16.27093	0
-16.25993	0
-16.24893	0
-16.23793	0
-16.22793	0
-16.21693	0
-16.20593	0
-16.19493	0
-16.18393	0
-16.17393	0
-16.16293	0
-16.15193	0
-16.14093	0
-16.12993	0
-16.11993	0
-16.10893	0
-16.09793	0
-16.08693	0
-16.07693	0
-16.06593	0
-16.05493	0
-16.04393	0
-16.03293	0
-16.02293	0
-16.01193	0
-16.00093	0
-15.98993	0
-15.97893	0
-15.96893	0
-15.95793	0
-15.94693	0
-15.93593	0
-15.92493	0
-15.91493	-1E-5
-15.90393	-2E-5
-15.89293	-3E-5
